0|2|1|5|5|2024-01-20|2024-02-10
1|2|1|3|3|2024-01-30|2024-02-05
2|2|1|3|3|2024-03-05|2024-03-18
3|3|2|3|3|2024-03-05|2024-03-17
4|2|1|3|3|2024-10-05|2024-10-18
5|2|5|3|3|2024-04-20|2024-04-25
6|2|5|3|3|2024-04-05|2024-04-12
7|2|5|3|3|2024-07-05|2024-07-10
8|2|1|3|3|2024-04-10|2024-04-16
9|2|1|3|3|2024-05-04|2024-05-10
10|5|1|3|3|2024-05-04|2024-05-10
11|5|1|3|3|2024-05-04|2024-05-10
12|5|1|3|3|2024-05-04|2024-05-10
13|5|1|3|3|2024-05-04|2024-05-10
14|5|1|3|3|2024-05-04|2024-05-10
15|5|1|3|3|2024-05-04|2024-05-10
16|5|1|3|3|2024-05-04|2024-05-10
17|5|1|3|3|2024-05-04|2024-05-10
18|5|1|3|3|2024-05-04|2024-05-10
19|5|1|3|3|2024-05-04|2024-05-10